requested_gpu,agent_count,state_width,action_count,observation_horizon,placements,wall_ms_median_of_placement_medians,wall_ms_placement_min,wall_ms_placement_max,device_ms_median_of_placement_medians,wall_to_device_ratio_median,tuned_cpu_wall_ms_median_of_placements,speedup_median_of_placements,speedup_placement_min,speedup_placement_max,placements_speedup_gt_one,compile_ms_median_of_placements,ns_per_agent_step_median_of_placements,gpu_price_usd_per_second,cost_usd_per_billion_median,cost_usd_per_billion_placement_min,cost_usd_per_billion_placement_max,fraction_placements_speedup_gt_one
A10,8,8,1,1,3,4.736552,4.5104845000000005,4.844595999999999,4.695199966430664,1.0088072997667812,4.168322,0.8800329860202105,0.8258494619571994,0.9279730370429163,0,867.711067,9251.078125,0.000306,2.83082990625,2.695719251953125,2.895403078125,0.0
A10,16,8,1,1,3,4.700626,4.5671420000000005,4.706284999999999,4.660799980163574,1.008329464787627,4.1727005,0.8876903842169108,0.8842144069048093,0.9196705510798656,0,879.5271,4590.455078125,0.000306,1.40467925390625,1.36479048046875,1.406370322265625,0.0
A10,32,8,1,1,3,4.6560425,4.646224,4.9724395,4.619776010513306,1.0091886951221736,4.5197585,0.9089619893816707,0.9041776358355836,0.9818791560630741,0,1013.337855,2273.458251953125,0.000306,0.6956782250976563,0.6942112031250001,0.7429523862304688,0.0
A10,64,8,1,1,3,4.7261524999999995,4.7088255,4.865754,4.690576076507568,1.0092231954905913,4.539939,0.9521293102775029,0.9320374050811608,0.9605993458738373,0,958.222708,1153.8458251953125,0.000306,0.35307682250976563,0.3517823737792969,0.3635060361328125,0.0
A10,128,8,1,1,3,4.7443729999999995,4.742312500000001,5.013662,4.702704191207886,1.0094480401209658,4.7335265,0.9977138180324355,0.9393265840417643,1.0178273785205,1,1206.677564,579.1470947265625,0.000306,0.17721901098632814,0.17714204406738282,0.18727790185546875,0.3333333333333333
A10,256,8,1,1,3,4.706925999999999,4.678756,4.913696,4.667536020278931,1.0091843213653564,4.8585329999999995,1.0359017936803578,1.031405847468178,1.0384241024751022,3,1190.690082,287.2879638671875,0.000306,0.08791011694335937,0.08738399267578126,0.09177191015625,1.0
A100-80GB,8,8,1,1,3,7.3283195,6.507452499999999,7.504296500000001,7.278543949127197,1.008067166176272,6.1729785,0.8423457110460317,0.8257708373591663,0.849513208866414,0,1851.034223,14313.1240234375,0.000694,9.933308072265625,8.820648505859374,10.171839396484375,0.0
A100-80GB,16,8,1,1,3,7.2105175,6.416543,7.8487565,7.156208038330078,1.0070232866097744,6.2023365,0.8832231779635857,0.7902317392570403,0.9005460426384099,0,1475.708967,7041.52099609375,0.000694,4.886815571289062,4.348711759765624,5.319372081054687,0.0
A100-80GB,32,8,1,1,3,6.864095000000001,6.5548195,7.4334645,6.81990385055542,1.0070043754949276,6.226672,0.8603111039136929,0.8376540978974204,0.9180580251293141,0,1547.964379,3351.60888671875,0.000694,2.3260165673828124,2.221213248535156,2.5189572084960936,0.0
A100-80GB,64,8,1,1,3,7.121763,6.248209,7.708695499999999,7.073375940322876,1.0068064897338684,6.300407,0.8846695684762327,0.8278974049500335,0.9146708280724926,0,1510.230972,1738.711669921875,0.000694,1.2066658989257812,1.0586565053710937,1.306111981689453,0.0
A100-80GB,128,8,1,1,3,7.305225500000001,6.677212,7.8571115,7.2501280307769775,1.0074321450153718,6.1430755,0.840915246216561,0.8265337713484148,0.8617846041132138,0,2105.412372,891.7511596679688,0.000694,0.6188753048095703,0.5656720126953124,0.6656293189697265,0.0
A100-80GB,256,8,1,1,3,7.1993165,6.4488585,7.7351545,7.1535680294036865,1.0063951961326532,6.6559455,0.9161273270300471,0.8604799684350195,0.9431844675810542,0,1749.201373,439.4114074707031,0.000694,0.304951516784668,0.2731633178100586,0.32764875628662105,0.0
H100!,8,8,1,1,3,3.4062970000000004,3.162528,4.0230715,3.3724639415740967,1.0100321483081927,2.7008375,0.8502941098610849,0.7928954815155578,0.8540039803600158,0,917.556329,6652.923828125,0.001097,7.298257439453126,6.775963312500001,8.619744991210938,0.0
H100!,16,8,1,1,3,3.359126,3.2329945,4.0527415,3.3276480436325073,1.0094595209453494,2.8259225,0.8412671927162005,0.841015195045955,0.8455866232771077,0,844.079163,3280.396484375,0.001097,3.5985949433593754,3.4634716469726565,4.341657642089844,0.0
H100!,32,8,1,1,3,3.3327755000000003,3.137487,3.9088935,3.3042880296707153,1.0086213641406205,2.818701,0.8739989974144857,0.8457518365698499,0.8849866150839828,0,968.338068,1627.331787109375,0.001097,1.7851829704589846,1.680577753417969,2.093777426513672,0.0
H100!,64,8,1,1,3,3.3431604999999998,3.0610365,4.0177095000000005,3.3145439624786377,1.0086336273844327,2.9359705,0.8550872744518249,0.8495232171464859,0.959142597613586,0,944.725131,816.2012939453125,0.001097,0.8953728194580078,0.8198137305908204,1.076032060913086,0.0
H100!,128,8,1,1,3,3.3530914999999997,3.3101545000000003,3.894715,3.3236160278320312,1.008868495013004,2.9734555,0.8867803040865423,0.7948152817343502,0.8920801128769065,0,1098.099665,409.31292724609375,0.001097,0.44901628118896486,0.44326653887939454,0.521545697631836,0.0
H100!,256,8,1,1,3,3.3296445,3.3009575,3.978358,3.300784111022949,1.0089043596825176,3.143855,0.9264183195330445,0.8544298929357287,0.9442014004798409,0,1119.263204,203.22537231445312,0.001097,0.2229382334289551,0.22101747909545902,0.26637321325683594,0.0
L4,8,8,1,1,3,7.6732005,7.4946345,8.013027000000001,7.620543956756592,1.0069098142523962,6.959801000000001,0.9126382576771548,0.893033226487435,0.928637814158916,0,1401.543692,14986.7197265625,0.000222,3.327051779296875,3.249626677734375,3.47439842578125,0.0
