source_file,run_id,hardware,provider,agent_count,state_width,action_count,observation_horizon,mode,threads,observations,wall_ms_mean,wall_ms_std,wall_ms_median,wall_ms_min,wall_ms_max,device_ms_median,compile_first_call_ms,ns_per_agent_step_median,shape_valid,action_match,max_state_abs_error,max_state_rel_error,max_budget_abs_error,execution_error_rows,wall_ms_cv,requested_gpu,placement_replicate,cpu_vendor,cpu_family,cpu_model,cpu_logical_count
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,8,8,1,1,compiled-cpu,1.0,30,6.256695166666666,0.16075505135391188,6.193443500000001,6.101774,6.876198,,24764.342148,12096.5693359375,True,True,4.410743713378906e-06,3.2164530239242595e-06,0.0,0,0.025693284884703148,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,8,8,1,1,compiled-cpu,8.0,30,6.515886366666667,0.15049548584030426,6.5449079999999995,6.213827,6.852152,,24764.342148,12783.0234375,True,True,4.410743713378906e-06,3.2164530239242595e-06,0.0,0,0.023096702025098892,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,8,8,1,1,compiled-gpu-resident,,30,6.133380399999999,0.07890244072209332,6.127168,5.987795,6.362423,6.081951856613159,1416.153887,11967.125,True,True,4.410743713378906e-06,3.2164530239242595e-06,0.0,0,0.012864429658087623,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,8,8,1,64,compiled-cpu,1.0,30,0.8418120666666666,0.044477971158093786,0.8382799999999999,0.769396,0.946553,,18716.334395,1637.265625,True,True,4.410743713378906e-06,3.2164530239242595e-06,0.0,0,0.052835986699755616,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,8,8,1,64,compiled-cpu,8.0,30,0.8412839,0.052254527844303005,0.8366845,0.745242,0.939737,,18716.334395,1634.1494140625,True,True,4.410743713378906e-06,3.2164530239242595e-06,0.0,0,0.062112834733082385,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,8,8,1,64,compiled-gpu-resident,,30,0.2651033666666667,0.027654955549541692,0.2634935,0.227044,0.324375,0.22748799622058866,13535.398469,514.6357421875,True,True,4.410743713378906e-06,3.2164530239242595e-06,0.0,0,0.10431763239096935,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,16,8,1,1,compiled-cpu,1.0,30,7.269941466666666,0.15961814557178258,7.3215924999999995,6.784701,7.451441,,1416.949053,7149.99267578125,True,True,2.1457672119140625e-06,3.260239054725389e-06,0.0,0,0.02195590518900958,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,16,8,1,1,compiled-cpu,8.0,30,7.353968833333334,0.22084665347313195,7.369097,6.982164,7.763812,,1416.949053,7196.3837890625,True,True,2.1457672119140625e-06,3.260239054725389e-06,0.0,0,0.03003094770705314,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,16,8,1,1,compiled-gpu-resident,,30,6.260592033333333,0.08082420727236214,6.2687295,6.074111,6.46234,6.224079847335815,1060.500713,6121.80615234375,True,True,2.1457672119140625e-06,3.260239054725389e-06,0.0,0,0.012909994269236679,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,16,8,1,64,compiled-cpu,1.0,30,0.8496579,0.049233674174428546,0.8366615,0.750902,0.954069,,18712.196928,817.05224609375,True,True,2.1457672119140625e-06,3.260239054725389e-06,0.0,0,0.057945290892285645,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,16,8,1,64,compiled-cpu,8.0,30,0.8719036,0.0460061949626127,0.8807240000000001,0.7791,0.996672,,18712.196928,860.08203125,True,True,2.1457672119140625e-06,3.260239054725389e-06,0.0,0,0.05276523111340829,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,16,8,1,64,compiled-gpu-resident,,30,0.3056602666666667,0.0701285870855537,0.2902195,0.228929,0.56133,0.2512640058994293,13586.326986,283.41748046875,True,True,2.1457672119140625e-06,3.260239054725389e-06,0.0,0,0.2294331149099971,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,32,8,1,1,compiled-cpu,1.0,30,7.183389,0.12726532393985915,7.227349,6.868274,7.385475,,1337.540866,3528.97900390625,True,True,5.960464477539063e-06,3.8327552829287015e-06,0.0,0,0.017716613138987623,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,32,8,1,1,compiled-cpu,8.0,30,7.300462166666667,0.11971704066041935,7.287225,6.996983,7.53667,,1337.540866,3558.21533203125,True,True,5.960464477539063e-06,3.8327552829287015e-06,0.0,0,0.016398556410173303,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,32,8,1,1,compiled-gpu-resident,,30,7.1341786,0.7335293935409766,6.875017,6.386881,8.91921,6.83137583732605,1212.342047,3356.94189453125,True,True,5.960464477539063e-06,3.8327552829287015e-06,0.0,0,0.10281903981783923,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,32,8,1,64,compiled-cpu,1.0,30,0.8708441333333333,0.05046904947946734,0.871244,0.689524,0.967974,,19461.988721,425.412109375,True,True,5.960464477539063e-06,3.8327552829287015e-06,0.0,0,0.0579541706117796,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,32,8,1,64,compiled-cpu,8.0,30,0.8506943666666668,0.03135925584585431,0.8476079999999999,0.764748,0.919339,,19461.988721,413.87109375,True,True,5.960464477539063e-06,3.8327552829287015e-06,0.0,0,0.036863128609551515,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,32,8,1,64,compiled-gpu-resident,,30,0.24696890000000002,0.02674666459818095,0.23452800000000001,0.225424,0.339676,0.20412799715995786,13776.696551,114.515625,True,True,5.960464477539063e-06,3.8327552829287015e-06,0.0,0,0.10829972761016042,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,64,8,1,1,compiled-cpu,1.0,30,8.485185533333333,0.991589319616492,8.1625365,7.373434,11.21298,,1405.5981,1992.8067626953125,True,True,4.529953002929688e-06,4.605160484061344e-06,0.0,0,0.11686124195176609,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,64,8,1,1,compiled-cpu,8.0,30,7.653356633333333,0.19606365078779983,7.656451499999999,7.212584,8.110783,,1405.5981,1869.2508544921875,True,True,4.529953002929688e-06,4.605160484061344e-06,0.0,0,0.025617994846060966,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,64,8,1,1,compiled-gpu-resident,,30,6.155459633333334,0.07487168213015429,6.1541855000000005,6.032137,6.409302,6.108752012252808,863.347145,1502.4866943359375,True,True,4.529953002929688e-06,4.605160484061344e-06,0.0,0,0.012163459203713341,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,64,8,1,64,compiled-cpu,1.0,30,0.9065513,0.054837742364775746,0.879011,0.827205,1.075516,,19169.420582,214.602294921875,True,True,4.529953002929688e-06,4.605160484061344e-06,0.0,0,0.06049050105027233,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,64,8,1,64,compiled-cpu,8.0,30,0.8889752666666666,0.045187666984617,0.8727895,0.825356,0.982552,,19169.420582,213.0833740234375,True,True,4.529953002929688e-06,4.605160484061344e-06,0.0,0,0.0508311858372104,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,64,8,1,64,compiled-gpu-resident,,30,0.24623676666666666,0.027200657620959138,0.2379145,0.223335,0.351478,0.20377600193023682,14201.816628,58.0845947265625,True,True,4.529953002929688e-06,4.605160484061344e-06,0.0,0,0.1104654596840973,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,128,8,1,1,compiled-cpu,1.0,30,7.250014966666667,0.21053589032595746,7.280670499999999,6.705708,7.712991,,1343.681384,888.7537231445312,True,True,7.867813110351562e-06,4.265566531103104e-06,0.0,0,0.02903937320046049,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,128,8,1,1,compiled-cpu,8.0,30,7.2773164,0.26379751314108474,7.261353,6.911466,8.369044,,1343.681384,886.3956298828125,True,True,7.867813110351562e-06,4.265566531103104e-06,0.0,0,0.03624928457708459,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,128,8,1,1,compiled-gpu-resident,,30,6.674680666666666,0.21624250444451684,6.5721295,6.333426,7.001417,6.524399995803833,1452.268965,802.2619018554688,True,True,7.867813110351562e-06,4.265566531103104e-06,0.0,0,0.03239743071521477,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,128,8,1,64,compiled-cpu,1.0,30,1.0263266333333334,0.07011771328789178,1.02679,0.931772,1.272151,,19172.271478,125.340576171875,True,True,7.867813110351562e-06,4.265566531103104e-06,0.0,0,0.06831910135680824,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,128,8,1,64,compiled-cpu,8.0,30,0.9461479333333334,0.10682953910526653,0.955058,0.678864,1.281054,,19172.271478,116.584228515625,True,True,7.867813110351562e-06,4.265566531103104e-06,0.0,0,0.11290997458388981,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,128,8,1,64,compiled-gpu-resident,,30,0.26442669999999996,0.034204555492275225,0.25939900000000005,0.224795,0.360019,0.21944000571966166,14318.622881,31.664916992187504,True,True,7.867813110351562e-06,4.265566531103104e-06,0.0,0,0.12935363748167347,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,256,8,1,1,compiled-cpu,1.0,30,7.439411166666667,0.10836858586359212,7.4661615,7.173998,7.651274,,1347.927364,455.6983337402344,True,True,7.62939453125e-06,5.183574558031978e-06,0.0,0,0.0145668230234609,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,256,8,1,1,compiled-cpu,8.0,30,9.366485299999999,0.17177752736730165,9.300787,9.216886,9.976999,,1347.927364,567.6749877929688,True,True,7.62939453125e-06,5.183574558031978e-06,0.0,0,0.018339592906562473,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,256,8,1,1,compiled-gpu-resident,,30,6.227381766666666,0.10058920266855383,6.2192715,6.08325,6.589688,6.175679922103882,1406.887154,379.5942077636719,True,True,7.62939453125e-06,5.183574558031978e-06,0.0,0,0.01615272781363399,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,256,8,1,64,compiled-cpu,1.0,30,1.1590655666666667,0.047438970423120945,1.16426,1.042917,1.233292,,19922.741458,71.060791015625,True,True,7.62939453125e-06,5.183574558031978e-06,0.0,0,0.04092863405436996,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,256,8,1,64,compiled-cpu,8.0,30,2.2675044333333334,0.14573941925223302,2.235215,2.144087,2.979415,,19922.741458,136.42669677734375,True,True,7.62939453125e-06,5.183574558031978e-06,0.0,0,0.06427304710403124,T4,1,GenuineIntel,6,85,21
pilot-012-modal-t4-rep1-20260811T175408Z.csv,20260811T175408Z,Tesla T4,modal,256,8,1,64,compiled-gpu-resident,,30,0.25210013333333336,0.02712707185887898,0.2426355,0.226819,0.340333,0.2114240005612373,17124.984973,14.809295654296875,True,True,7.62939453125e-06,5.183574558031978e-06,0.0,0,0.10760435347731792,T4,1,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,8,8,1,1,compiled-cpu,1.0,30,6.488002266666666,0.16576666859837147,6.4541745,6.226272,6.959628,,1353.152974,12605.8095703125,True,True,6.437301635742188e-06,3.010847649420612e-06,0.0,0,0.025549724211723683,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,8,8,1,1,compiled-cpu,8.0,30,6.6007207333333335,0.15999758440524234,6.5513375,6.370015,7.031411,,1353.152974,12795.5810546875,True,True,6.437301635742188e-06,3.010847649420612e-06,0.0,0,0.02423941125054147,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,8,8,1,1,compiled-gpu-resident,,30,6.393023966666666,0.10041199324317684,6.399515,6.077303,6.649444,6.356688022613525,1028.363946,12499.052734375,True,True,6.437301635742188e-06,3.010847649420612e-06,0.0,0,0.01570649410462508,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,8,8,1,64,compiled-cpu,1.0,30,0.8352752666666666,0.03961724380997308,0.8226575,0.759185,0.923714,,18330.979183,1606.7529296875,True,True,6.437301635742188e-06,3.010847649420612e-06,0.0,0,0.04743016510960947,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,8,8,1,64,compiled-cpu,8.0,30,0.8265009333333333,0.055675510793645466,0.817342,0.720408,0.947364,,18330.979183,1596.37109375,True,True,6.437301635742188e-06,3.010847649420612e-06,0.0,0,0.06736291339575677,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,8,8,1,64,compiled-gpu-resident,,30,0.2661746,0.02903567502775233,0.2625005,0.235492,0.350493,0.23091199994087214,13427.154652,512.6962890625,True,True,6.437301635742188e-06,3.010847649420612e-06,0.0,0,0.10908507058056002,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,16,8,1,1,compiled-cpu,1.0,30,7.5753746,0.19534765322149333,7.575805,7.326468,8.179273,,1407.107913,7398.2470703125,True,True,7.62939453125e-06,3.954511612391798e-06,0.0,0,0.02578719384008988,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,16,8,1,1,compiled-cpu,8.0,30,7.337235466666667,0.13558183929240902,7.300838000000001,7.196743,7.795292,,1407.107913,7129.724609375,True,True,7.62939453125e-06,3.954511612391798e-06,0.0,0,0.018478599999735917,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,16,8,1,1,compiled-gpu-resident,,30,6.611252966666667,0.11210008947656552,6.6070530000000005,6.411788,6.977537,6.558640003204346,1300.831993,6452.2001953125,True,True,7.62939453125e-06,3.954511612391798e-06,0.0,0,0.01695595222898956,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,16,8,1,64,compiled-cpu,1.0,30,1.1433633333333333,0.25510100200999947,1.0995485,0.850744,1.8326,,18959.992388,1073.77783203125,True,True,7.62939453125e-06,3.954511612391798e-06,0.0,0,0.22311455560349683,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,16,8,1,64,compiled-cpu,8.0,30,0.8332728,0.042399852639138806,0.8142735000000001,0.777284,0.951775,,18959.992388,795.18896484375,True,True,7.62939453125e-06,3.954511612391798e-06,0.0,0,0.050883519345811846,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,16,8,1,64,compiled-gpu-resident,,30,0.25866076666666665,0.031742888768312716,0.2414015,0.231241,0.343015,0.20920000225305554,14177.418554,235.74365234375,True,True,7.62939453125e-06,3.954511612391798e-06,0.0,0,0.12272015264386592,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,32,8,1,1,compiled-cpu,1.0,30,7.266465166666666,0.09965737734654607,7.295053,7.076698,7.418278,,1370.337039,3562.03759765625,True,True,9.5367431640625e-06,5.009530013921904e-06,0.0,0,0.013714698283245433,T4,2,GenuineIntel,6,85,21
pilot-013-modal-t4-rep2-20260811T175407Z.csv,20260811T175407Z,Tesla T4,modal,32,8,1,1,compiled-cpu,8.0,30,7.4945294,0.11062683221489933,7.5084525,7.181246,7.693442,,1370.337039,3666.236572265625,True,True,9.5367431640625e-06,5.009530013921904e-06,0.0,0,0.014761011173683477,T4,2,GenuineIntel,6,85,21
