hardware,agent_count,state_width,action_count,mode,threads,repetitions,median_wall_ms,mean_wall_ms,std_wall_ms,p10_wall_ms,p90_wall_ms,median_ns_per_agent_step,correctness_valid,cv
NVIDIA GeForce GTX 1660 Ti,256,8,1,cpu,1.0,10,2.622089,2.6357646,0.057585129489015285,2.5786739,2.6955909,160.03961181640625,True,0.021847599550056666
NVIDIA GeForce GTX 1660 Ti,256,8,1,cpu,8.0,10,2.847635,3.1845564,0.6126829333129274,2.7837357999999996,4.0095179,173.80584716796875,True,0.1923919241351566
NVIDIA GeForce GTX 1660 Ti,256,8,1,eager-host-visible,,10,8.4113855,8.4921379,0.21206799386907832,8.3024509,8.7622907,513.3902282714844,True,0.02497227392752046
NVIDIA GeForce GTX 1660 Ti,256,8,1,eager-resident,,10,7.3016115,7.3671008,0.34109569973731574,7.0832248,7.6080064,445.6549987792969,True,0.046299855125820424
NVIDIA GeForce GTX 1660 Ti,256,8,1,graph-resident,,10,1.182533,1.183354,0.0021829328894859977,1.1817571,1.1861968,72.17608642578125,True,0.0018446998019916252
NVIDIA GeForce GTX 1660 Ti,256,8,8,cpu,1.0,10,2.601319,2.6287107,0.05923751366425026,2.5711961999999997,2.7138368,158.77191162109375,True,0.022534816655271444
NVIDIA GeForce GTX 1660 Ti,256,8,8,cpu,8.0,10,2.797812,3.0336974999999997,0.7405966823404024,2.7832469,3.0737178999999992,170.764892578125,True,0.24412344419323367
NVIDIA GeForce GTX 1660 Ti,256,8,8,eager-host-visible,,10,8.63753,8.6480487,0.2341085888694718,8.4291532,8.8655864,527.1929931640625,True,0.02707068345596525
NVIDIA GeForce GTX 1660 Ti,256,8,8,eager-resident,,10,6.808779,6.8603407,0.08490143259758451,6.7897757,6.9677758999999995,415.57489013671875,True,0.012375687492836107
NVIDIA GeForce GTX 1660 Ti,256,8,8,graph-resident,,10,1.19862,1.1993263,0.002250425641221407,1.1978892,1.2016118,73.157958984375,True,0.0018764081478254975
NVIDIA GeForce GTX 1660 Ti,256,32,1,cpu,1.0,10,2.8038689999999997,2.8017418,0.02070145747848051,2.7858433,2.819413,171.13458251953125,True,0.007388781321134057
NVIDIA GeForce GTX 1660 Ti,256,32,1,cpu,8.0,10,2.9201940000000004,3.0499053,0.3804480845368905,2.9135554,3.1299700999999995,178.2344970703125,True,0.12474095000159202
NVIDIA GeForce GTX 1660 Ti,256,32,1,eager-host-visible,,10,8.2194445,8.1680915,0.13469579753095517,7.9920216,8.302546900000001,501.6750793457031,True,0.016490485877999186
NVIDIA GeForce GTX 1660 Ti,256,32,1,eager-resident,,10,7.469664,7.4961297,0.40366166333729686,7.1067317999999995,7.729676799999999,455.912109375,True,0.05384934352687319
NVIDIA GeForce GTX 1660 Ti,256,32,1,graph-resident,,10,1.1934265000000002,1.1946542,0.00264791728638849,1.1929661,1.198668,72.84097290039062,True,0.0022164717508953552
NVIDIA GeForce GTX 1660 Ti,256,32,8,cpu,1.0,10,2.774939,2.7748639,0.007120312468954974,2.7684023,2.7840053,169.36883544921875,True,0.0025660042169833894
NVIDIA GeForce GTX 1660 Ti,256,32,8,cpu,8.0,10,2.8368314999999997,2.8568533,0.061721442123373084,2.8210591000000003,2.8803595,173.14645385742188,True,0.021604694270921466
NVIDIA GeForce GTX 1660 Ti,256,32,8,eager-host-visible,,10,8.316567,8.2878686,0.21776423083754282,8.026805000000001,8.6027879,507.6029663085938,True,0.02627505832290136
NVIDIA GeForce GTX 1660 Ti,256,32,8,eager-resident,,10,7.290841,7.293488600000001,0.16154559996085016,7.1048163,7.50836,444.9976196289063,True,0.02214929080177765
NVIDIA GeForce GTX 1660 Ti,256,32,8,graph-resident,,10,1.2099760000000002,1.2122175,0.0046523985271637565,1.2091935,1.2176107,73.85107421875,True,0.003837923909829512
NVIDIA GeForce GTX 1660 Ti,1024,8,1,cpu,1.0,10,3.6082555000000003,3.6755392000000002,0.11313865026574939,3.58937,3.8534865000000003,55.05760955810547,True,0.0307815109864015
NVIDIA GeForce GTX 1660 Ti,1024,8,1,cpu,8.0,10,3.5700535,3.5929835,0.060636087639934194,3.5600993,3.6220607,54.474693298339844,True,0.0168762499577118
NVIDIA GeForce GTX 1660 Ti,1024,8,1,eager-host-visible,,10,8.6267215,8.6432856,0.22396624810012006,8.422912,8.9263545,131.6333236694336,True,0.025912165635267225
NVIDIA GeForce GTX 1660 Ti,1024,8,1,eager-resident,,10,7.2314555,7.237749599999999,0.034508085233592736,7.2077909,7.262320900000001,110.34325408935547,True,0.004767792081891413
NVIDIA GeForce GTX 1660 Ti,1024,8,1,graph-resident,,10,1.3938245,1.3995051,0.012523616281516412,1.3931895,1.4217646,21.26807403564453,True,0.008948603532431865
NVIDIA GeForce GTX 1660 Ti,1024,8,8,cpu,1.0,10,4.105385999999999,4.1129725,0.03756304599603196,4.0733185,4.1487761,62.643218994140625,True,0.009132822063855755
NVIDIA GeForce GTX 1660 Ti,1024,8,8,cpu,8.0,10,3.7067725,3.7296239,0.06670544555223545,3.7003067,3.7489237,56.56085968017578,True,0.017885300861632578
NVIDIA GeForce GTX 1660 Ti,1024,8,8,eager-host-visible,,10,8.261700000000001,8.250190499999999,0.045812726311098,8.2169294,8.2826891,126.06353759765626,True,0.005552929512487985
NVIDIA GeForce GTX 1660 Ti,1024,8,8,eager-resident,,10,7.2321565,7.236661,0.043750087370071536,7.186639400000001,7.2968433,110.35395050048828,True,0.0060456179127461596
NVIDIA GeForce GTX 1660 Ti,1024,8,8,graph-resident,,10,1.429095,1.4310516,0.005373633887375972,1.4269175,1.4352710000000002,21.806259155273438,True,0.0037550245479450023
NVIDIA GeForce GTX 1660 Ti,1024,32,1,cpu,1.0,10,4.0481565,4.0646165000000005,0.06423264408945195,4.0014505,4.1410272,61.76996612548828,True,0.015802879334237793
NVIDIA GeForce GTX 1660 Ti,1024,32,1,cpu,8.0,10,4.2332305,4.5182183,0.5215313892626534,4.175015,5.2262423,64.5939712524414,True,0.11542855051130518
NVIDIA GeForce GTX 1660 Ti,1024,32,1,eager-host-visible,,10,8.157496,8.1823917,0.18343153616846394,8.027603599999999,8.3496887,124.4735107421875,True,0.022417838560388637
NVIDIA GeForce GTX 1660 Ti,1024,32,1,eager-resident,,10,6.8211794999999995,6.8769205,0.10209131823492362,6.8081134,6.9941201,104.08293914794922,True,0.014845499265975755
NVIDIA GeForce GTX 1660 Ti,1024,32,1,graph-resident,,10,1.5588825000000002,1.5595614,0.0026441726368248205,1.5572917,1.5634198,23.786659240722656,True,0.0016954591443625244
NVIDIA GeForce GTX 1660 Ti,1024,32,8,cpu,1.0,10,4.946083,4.9461436999999995,0.021011873558908056,4.9285957,4.9645173,75.47123718261719,True,0.004248132450924961
NVIDIA GeForce GTX 1660 Ti,1024,32,8,cpu,8.0,10,4.2321585,22.074134500000003,51.27900733073987,4.2054823,34.13800379999995,64.5776138305664,True,2.323035919290057
NVIDIA GeForce GTX 1660 Ti,1024,32,8,eager-host-visible,,10,8.457855,8.5092131,0.14606923961407234,8.4005259,8.773050000000001,129.05662536621094,True,0.01716601028761077
NVIDIA GeForce GTX 1660 Ti,1024,32,8,eager-resident,,10,7.303247000000001,7.3491677,0.33781237565648436,7.0019723,7.6605932,111.43870544433594,True,0.04596607254675715
NVIDIA GeForce GTX 1660 Ti,1024,32,8,graph-resident,,10,1.598638,1.6062674000000001,0.02010064131204656,1.5902713000000002,1.6287711,24.393280029296875,True,0.01251388237851715
NVIDIA GeForce GTX 1660 Ti,4096,8,1,cpu,1.0,10,7.115062,7.119117900000001,0.016592415412202938,7.1078787000000005,7.1332771,27.141807556152344,True,0.0023306841725718487
NVIDIA GeForce GTX 1660 Ti,4096,8,1,cpu,8.0,10,5.903305,6.226859500000001,0.5361629231228239,5.8554703,7.0698846,22.51932144165039,True,0.08610486925597467
NVIDIA GeForce GTX 1660 Ti,4096,8,1,eager-host-visible,,10,8.677521500000001,8.710664900000001,0.18974761766705356,8.5482339,8.831895600000001,33.10211753845215,True,0.021783367842224483
NVIDIA GeForce GTX 1660 Ti,4096,8,1,eager-resident,,10,7.494979000000001,7.4373594,0.17724269992314073,7.1721669,7.5996065,28.591075897216797,True,0.02383140176379546
