hardware,state_width,action_count,mode,max_valid_speedup,crossover_n
NVIDIA GeForce GTX 1660 Ti,8,1,eager-host-visible,4.623785933468986,16384
NVIDIA GeForce GTX 1660 Ti,8,1,eager-resident,5.5313473166635605,16384
NVIDIA GeForce GTX 1660 Ti,8,1,graph-resident,5.604892173413821,256
NVIDIA GeForce GTX 1660 Ti,8,8,eager-host-visible,6.046103557309055,16384
NVIDIA GeForce GTX 1660 Ti,8,8,eager-resident,7.246528596874872,16384
NVIDIA GeForce GTX 1660 Ti,8,8,graph-resident,7.255619456001376,256
NVIDIA GeForce GTX 1660 Ti,32,1,eager-host-visible,7.000705834046938,4096
NVIDIA GeForce GTX 1660 Ti,32,1,eager-resident,7.938306261980096,4096
NVIDIA GeForce GTX 1660 Ti,32,1,graph-resident,7.942521717353044,256
NVIDIA GeForce GTX 1660 Ti,32,8,eager-host-visible,9.518329377805358,16384
NVIDIA GeForce GTX 1660 Ti,32,8,eager-resident,10.75999274249938,16384
NVIDIA GeForce GTX 1660 Ti,32,8,graph-resident,10.78011236176769,256
NVIDIA L4,8,1,eager-host-visible,6.354121793116907,65536
NVIDIA L4,8,1,eager-resident,13.290102744664786,4096
NVIDIA L4,8,1,graph-resident,13.354250969299587,256
NVIDIA L4,8,8,eager-host-visible,4.814997633527177,65536
NVIDIA L4,8,8,eager-resident,9.627230440682032,65536
NVIDIA L4,8,8,graph-resident,13.085099484010952,256
NVIDIA L4,32,1,eager-host-visible,4.429199206222432,4096
NVIDIA L4,32,1,eager-resident,5.987601497119846,4096
NVIDIA L4,32,1,graph-resident,10.86063910178127,256
NVIDIA L4,32,8,eager-host-visible,9.484229723095012,4096
NVIDIA L4,32,8,eager-resident,19.188197734845815,4096
NVIDIA L4,32,8,graph-resident,28.371780993874488,256
