experiment_id,run_id,recorded_at,case_id,status,error_type,error_message,mode,backend,threads,agent_count,state_width,action_count,total_steps,observation_horizon,host_visible,compiler_backend,compile_first_call_ms,repetition,wall_ms,device_ms,agent_steps_per_second,ns_per_agent_step,checksum,correctness_valid,correctness_action_match,correctness_state_max_abs_error,correctness_state_max_rel_error,correctness_budget_max_abs_error
compiled-smoke,20260811T154430Z,2026-08-11T15:44:30.645860+00:00,c89870e7d6cd,ok,,,compiled-cpu,cpu,1,256,8,1,4,1,False,inductor,4498.054722,0,0.299458,,3419511.250325588,292.439453125,-2.9871878623962402,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154430Z,2026-08-11T15:44:30.645860+00:00,c89870e7d6cd,ok,,,compiled-cpu,cpu,1,256,8,1,4,1,False,inductor,4498.054722,1,0.298004,,3436195.487308895,291.01953125,-2.9810500144958496,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154430Z,2026-08-11T15:44:37.886037+00:00,8aac984b4507,ok,,,compiled-cpu,cpu,2,256,8,1,4,1,False,inductor,4498.054722,0,0.297568,,3441230.239810732,290.59375,-2.9871878623962402,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154430Z,2026-08-11T15:44:37.886037+00:00,8aac984b4507,ok,,,compiled-cpu,cpu,2,256,8,1,4,1,False,inductor,4498.054722,1,0.308149,,3323067.736711785,300.9267578125,-2.9810500144958496,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154430Z,2026-08-11T15:44:37.887366+00:00,5d4f3f810766,ok,,,compiled-gpu-resident,cuda,,256,8,1,4,1,False,inductor,787.82552,0,0.376744,0.3461120128631592,2718026.033593103,367.9140625,-2.9871864318847656,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154430Z,2026-08-11T15:44:37.887366+00:00,5d4f3f810766,ok,,,compiled-gpu-resident,cuda,,256,8,1,4,1,False,inductor,787.82552,1,0.496473,0.4628480076789856,2062549.2222134941,484.8369140625,-2.981039047241211,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154430Z,2026-08-11T15:44:37.897757+00:00,fd0f76fdabde,ok,,,compiled-gpu-host-visible,cuda,,256,8,1,4,1,True,inductor,787.82552,0,0.4625,0.4371199905872345,2214054.054054054,451.66015625,-2.9871864318847656,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154430Z,2026-08-11T15:44:37.897757+00:00,fd0f76fdabde,ok,,,compiled-gpu-host-visible,cuda,,256,8,1,4,1,True,inductor,787.82552,1,0.473196,0.44835200905799866,2164008.1488431855,462.10546875,-2.981039047241211,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154430Z,2026-08-11T15:44:37.899762+00:00,c17e97ab9d2f,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-cpu,cpu,1,256,8,1,4,4,False,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.017051+00:00,b16a80d9e4b6,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-cpu,cpu,2,256,8,1,4,4,False,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.019704+00:00,cca99570e6fe,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-gpu-resident,cuda,,256,8,1,4,4,False,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.022115+00:00,9d2b5a362117,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-gpu-host-visible,cuda,,256,8,1,4,4,True,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.024681+00:00,1e1c6a9514e7,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-cpu,cpu,1,256,8,8,4,1,False,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.027237+00:00,84aa2e88b0e5,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-cpu,cpu,2,256,8,8,4,1,False,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.029873+00:00,e92ed1681138,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-gpu-resident,cuda,,256,8,8,4,1,False,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.032624+00:00,ce3bc27bee11,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-gpu-host-visible,cuda,,256,8,8,4,1,True,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.035537+00:00,a673261afe7f,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-cpu,cpu,1,256,8,8,4,4,False,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.038277+00:00,7f5b0d653cf3,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-cpu,cpu,2,256,8,8,4,4,False,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.041029+00:00,91c3e123f00d,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-gpu-resident,cuda,,256,8,8,4,4,False,inductor,,,,,,,,,,,,
compiled-smoke,20260811T154430Z,2026-08-11T15:44:39.043808+00:00,766afefc9013,error,FailOnRecompileLimitHit,Hard failure due to fullgraph=True,compiled-gpu-host-visible,cuda,,256,8,8,4,4,True,inductor,,,,,,,,,,,,
